,shirtNumber,position,goals,total_shots,shots_on_target,shots_off_target,blocked_shots,saved_shots,total_passes,accurate_passes,key_passes,dribbles_attempted,dribbles_past,dribbles,tackles_attempted,tackles_won,clearances,interceptions,injuries,distance_covered,avg_speed,highest_speed,team,team_color,%_pass_success,%_dribbles_success,aerial_duels,%_aerial_success,offensive_aerials,defensive_aerials,%_tackles_success
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,69.47260232790953,15.919401236840946,312.3105473508866,1,[     148.87      237.09      177.19],100.0,0.0,0,0.0,0,0,0.0
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,0,2.5700242713962216,0.6756551629307621,8.477413475453808,1,[     148.87      237.09      177.19],0.0,0.0,0,0.0,0,0,0.0
4,11,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,8.295887158705842,4.804976936909282,11.713432103925115,1,[     148.87      237.09      177.19],0.0,0.0,0,0.0,0,0,0.0
6,141,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0.0,1.0,0,1702.9603077147983,980.913883059075,25505.631747354175,1,[     148.87      237.09      177.19],100.0,0.0,0,0.0,0,0,0.0
7,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,15.588698465146114,9.096618532897903,17.629232546060898,1,[     148.87      237.09      177.19],0.0,0.0,0,0.0,0,0,0.0
8,6,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,0,0,0,0.0,0.0,0,187.91581928713777,109.10351190939132,427.5882598815209,1,[     148.87      237.09      177.19],100.0,0.0,0,0.0,0,0,0.0
9,8,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0.0,1.0,0,10.393327277748549,6.059352969209416,23.92407718653951,1,[     148.87      237.09      177.19],100.0,0.0,0,0.0,0,0,0.0
