position,goals,total_shots,shots_on_target,shots_off_target,blocked_shots,saved_shots,total_passes,accurate_passes,%_pass_success,key_passes,dribbles_attempted,dribbles,%_dribbles_success,dribbles_past,aerial_duels,%_aerial_success,offensive_aerials,defensive_aerials,tackles_attempted,tackles_won,%_tackles_success,clearances,interceptions,injuries,distance_covered,avg_speed,highest_speed,Shirt_Number,shirt_number
Central Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,491.9843456477368,106.05132099875493,547.6206903788033,1,1
Defensive Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,69.47260232790953,15.919401236840946,312.3105473508866,10,10
Defensive Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10.62063109738502,3.0720147227942443,11.713432103925117,11,11
Left-back,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1702.9603077147983,980.913883059075,25505.63174735417,14,14
Center-back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,15.588698465146114,9.096618532897905,17.629232546060898,15,15
Center-back,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,187.91581928713777,109.10351190939132,427.5882598815209,6,6
Right Winger,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,10.393327277748549,6.059352969209416,23.92407718653951,8,8
Right Winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7.0,4.032,120.96,9,9
